ticker,window_years,strategy,total_return,buy_hold_return,alpha,total_profit,win_rate,max_drawdown,sharpe_ratio,trades,winning_trades,ending_equity,error
AAPL,5,Buy Hold,1.4924956512754695,1.4924956512754695,0.0,14924.956512754694,,,,1,,24924.956512754696,
AAPL,5,RSI 30/70,0.3183376690123807,1.4924956512754695,-1.1741579822630888,3183.376690123807,0.7333333333333333,-0.3133296264282166,0.36808448702288155,15,11.0,13183.376690123807,
AAPL,5,MA 5/20 Crossover,0.971933852236823,1.4924956512754695,-0.5205617990386464,9719.33852236823,0.4117647058823529,-0.28980189427322456,0.8244204783202412,34,14.0,19719.33852236823,
AAPL,5,Momentum 20D,0.7434107414598381,1.4924956512754695,-0.7490849098156314,7434.10741459838,0.4444444444444444,-0.2231898484910798,0.7245326305184417,54,24.0,17434.10741459838,
AAPL,5,Bollinger 20D/2SD,0.504413644543483,1.4924956512754695,-0.9880820067319864,5044.136445434831,0.7142857142857143,-0.17626165491380152,0.5967090673573254,21,15.0,15044.136445434831,
AAPL,10,Buy Hold,11.726562507856235,11.726562507856235,0.0,117265.62507856234,,,,1,,127265.62507856234,
AAPL,10,RSI 30/70,1.0820717338916563,12.439194911014223,-11.357123177122567,10820.717338916565,0.7666666666666667,-0.3133296264282166,0.45453890161602345,30,23.0,20820.717338916565,
AAPL,10,MA 5/20 Crossover,7.674627625452853,12.090216218426805,-4.415588592973952,76746.27625452854,0.5166666666666667,-0.28980189427322467,1.2288945142416392,60,31.0,86746.27625452854,
AAPL,10,Momentum 20D,6.223695367331461,11.726562507856235,-5.502867140524774,62236.95367331461,0.44329896907216493,-0.2672408948054157,1.1304682946579894,97,43.0,72236.95367331461,
AAPL,10,Bollinger 20D/2SD,0.2796176174575129,11.726562507856235,-11.446944890398722,2796.17617457513,0.7142857142857143,-0.4330201896613065,0.22714492373146844,35,25.0,12796.17617457513,
MSFT,5,Buy Hold,0.6638430000988356,0.6638430000988356,0.0,6638.4300009883555,,,,1,,16638.430000988355,
MSFT,5,RSI 30/70,0.22986820988215784,0.6638430000988356,-0.43397479021667773,2298.6820988215786,0.7142857142857143,-0.34183779918986856,0.3086910363137131,14,10.0,12298.682098821579,
MSFT,5,MA 5/20 Crossover,0.08751924200527594,0.6638430000988356,-0.5763237580935596,875.1924200527592,0.36585365853658536,-0.3358779755100515,0.18339247128836683,41,15.0,10875.19242005276,
MSFT,5,Momentum 20D,0.1819357529424359,0.6638430000988356,-0.48190724715639965,1819.35752942436,0.33962264150943394,-0.2939325006017851,0.27831814311941633,53,18.0,11819.35752942436,
MSFT,5,Bollinger 20D/2SD,0.7537304794108535,0.6638430000988356,0.0898874793120179,7537.304794108535,0.72,-0.1540637709611693,0.8133092363574678,25,18.0,17537.304794108535,
MSFT,10,Buy Hold,7.100901192025182,7.100901192025182,0.0,71009.01192025183,,,,1,,81009.01192025183,
MSFT,10,RSI 30/70,1.6985667510778408,7.474813812464804,-5.776247061386963,16985.667510778407,0.8,-0.34183779918986845,0.6000209127645323,25,20.0,26985.667510778407,
MSFT,10,MA 5/20 Crossover,1.5620234242121689,7.25449548578,-5.69247206156783,15620.234242121689,0.4523809523809524,-0.33587797551005194,0.6081775482953888,84,38.0,25620.23424212169,
MSFT,10,Momentum 20D,0.9803398214713204,7.100901192025182,-6.120561370553862,9803.398214713205,0.38016528925619836,-0.293932500601785,0.4679244420882891,121,46.0,19803.398214713205,
MSFT,10,Bollinger 20D/2SD,2.0166938563937986,7.100901192025182,-5.084207335631383,20166.938563937987,0.8,-0.21627407008057686,0.7662502407538351,40,32.0,30166.938563937987,
NVDA,5,Buy Hold,10.84188675854648,10.84188675854648,0.0,108418.86758546479,,,,1,,118418.86758546479,
NVDA,5,RSI 30/70,1.8654442407320282,10.84188675854648,-8.976442517814451,18654.442407320283,0.8571428571428571,-0.3757949852907083,0.8470659276164988,14,12.0,28654.442407320283,
NVDA,5,MA 5/20 Crossover,3.4158611707001034,10.84188675854648,-7.426025587846376,34158.61170700104,0.38461538461538464,-0.4707121997677418,0.9654062303923255,39,15.0,44158.61170700104,
NVDA,5,Momentum 20D,2.586937380652655,10.84188675854648,-8.254949377893825,25869.37380652655,0.39344262295081966,-0.5012498717019958,0.8484896669709927,61,24.0,35869.37380652655,
