ticker,date,open,high,low,close,volume,ma_5,ma_20,rsi_14,daily_return,momentum_5d,momentum_10d,volatility_10d,volatility_20d,ma_ratio,price_distance_ma20,rsi_change,volume_change,tomorrow_close,tomorrow_return,target_up
AAPL,2016-07-05,23.84749984741211,23.850000381469727,23.614999771118164,23.747499465942383,110820800,23.72349967956543,24.048000049591064,40.991976618783106,-0.009385770482923439,0.03205124857560193,-0.0011566836184702112,0.013898618549654806,0.011676386872221967,0.9865061389988166,-0.012495865894419422,-3.400923387235437,0.06449964459301105,23.88249969482422,0.0056848186932458855,1
AAPL,2016-07-06,23.649999618530273,23.915000915527344,23.592500686645508,23.88249969482422,123796400,23.82049980163574,24.004250049591064,44.22110662853249,0.0056848186932458855,0.020728737229588123,-0.003962098512176659,0.013732982531956199,0.011725068261495872,0.9923450952403966,-0.005072033265580811,3.229130009749383,0.11708632314511358,23.985000610351562,0.004291883883057679,1
AAPL,2016-07-07,23.924999237060547,24.125,23.905000686645508,23.985000610351562,100558400,23.89749984741211,23.966750049591063,44.22110662853249,0.004291883883057679,0.016313568756724628,0.004081626134927241,0.013744587833635207,0.01180169908324208,0.9971105718532691,0.0007614950180034885,0.0,-0.18771143587374106,24.170000076293945,0.007713131592022471,1
AAPL,2016-07-08,24.122499465942383,24.22249984741211,24.012500762939453,24.170000076293945,115648400,23.951499938964844,23.929625034332275,55.4216786255084,0.007713131592022471,0.011297090463312509,0.006035398962164207,0.013841443324074438,0.011823003807967542,1.0009141348684396,0.010045081843814918,11.20057199697591,0.1500620534932935,24.2450008392334,0.0031030518288253095,1
AAPL,2016-07-11,24.1875,24.412500381469727,24.1825008392334,24.2450008392334,95179600,24.006000137329103,23.90650005340576,57.508004158384225,0.0031030518288253095,0.011367233019325962,0.0383297834322065,0.009452896542360967,0.011752102598784994,1.0041620514797676,0.01415936189201461,2.0863255328758257,-0.1769916401783337,24.354999542236328,0.004536964289352685,1
AAPL,2016-07-12,24.292499542236328,24.424999237060547,24.280000686645508,24.354999542236328,96670000,24.127500152587892,23.907500076293946,56.21397228550401,0.004536964289352685,0.025581643960670197,0.05845281616582798,0.006918785983636239,0.01131517136248595,1.0092021363836403,0.018717953132461274,-1.2940318728802112,0.01565881764579813,24.217500686645508,-0.005645611093211933,0
AAPL,2016-07-13,24.352500915527344,24.417499542236328,24.209999084472656,24.217500686645508,103568800,24.194500350952147,23.900125122070314,55.34846394922306,-0.005645611093211933,0.014027048931309682,0.035046549172301544,0.006546481456814134,0.011383332619490684,1.0123168907015467,0.013279242805390945,-0.8655083362809535,0.07136443570911344,24.697500228881836,0.019820358361794854,1
AAPL,2016-07-14,24.34749984741211,24.747499465942383,24.329999923706055,24.697500228881836,155676000,24.3370002746582,23.9207501411438,59.81037242153016,0.019820358361794854,0.029706049630983555,0.046504230070854025,0.008257627867607418,0.012201299016760352,1.0174012157251897,0.03247181142542943,4.461908472307101,0.503116768756614,24.69499969482422,-0.00010124644334219557,0
AAPL,2016-07-15,24.729999542236328,24.825000762939453,24.625,24.69499969482422,120548000,24.44200019836426,23.936125087738038,74.41015831344636,-0.00010124644334219557,0.021721126060119333,0.033263602049498076,0.007840280697498862,0.0121778950659373,1.0211343777980744,0.03170415446545838,14.599785891916198,-0.22564814101081732,24.957500457763672,0.010629713147737752,1
AAPL,2016-07-18,24.674999237060547,25.032499313354492,24.649999618530273,24.957500457763672,145975600,24.584500122070313,23.992375087738036,86.3678878685493,0.010629713147737752,0.029387485826657622,0.04108877324522742,0.008172010676594664,0.011027455072459736,1.0246797172921367,0.04022633717988544,11.957729555102944,0.2109334041211799,24.967500686645508,0.00040069032148304373,1
AAPL,2016-07-19,24.889999389648438,25.0,24.834999084472656,24.967500686645508,95119600,24.70700035095215,24.0520001411438,84.13045263019099,0.00040069032148304373,0.025148887535267006,0.05137388138287147,0.006863491018776988,0.010981122558258343,1.0272326711277493,0.038063385170850506,-2.237435238358316,-0.34838699070255574,24.989999771118164,0.0009011348294341026,1
AAPL,2016-07-20,25.0,25.114999771118164,24.934999465942383,24.989999771118164,105104000,24.86150016784668,24.10262508392334,82.78302098984247,0.0009011348294341026,0.031898381854847724,0.04637287094926501,0.006979540939651365,0.010893451589034769,1.0314851631837196,0.03681651621369286,-1.3474316403485176,0.10496679969217704,24.857500076293945,-0.005302108684985041,0
AAPL,2016-07-21,24.957500457763672,25.25,24.782499313354492,24.857500076293945,130808000,24.893500137329102,24.151125049591066,74.51986573824428,-0.005302108684985041,0.00647838226254982,0.036376879038553245,0.007648578904278757,0.010942839400123857,1.0307387372726393,0.029248120957199086,-8.263155251598192,0.24455777135028156,24.665000915527344,-0.007744107821614166,0
AAPL,2016-07-22,24.815000534057617,24.825000762939453,24.577499389648438,24.665000915527344,113254800,24.887500381469728,24.18312511444092,66.70691505320335,-0.007744107821614166,-0.0012147713977563868,0.020479968459697906,0.008263430157535504,0.011117146412430619,1.0291267263306756,0.019926117853092284,-7.812950685040931,-0.13419056938413554,24.334999084472656,-0.013379356124286312,0
AAPL,2016-07-25,24.5625,24.709999084472656,24.229999542236328,24.334999084472656,161531600,24.763000106811525,24.232375049591063,63.490233760818896,-0.013379356124286312,-0.024942456651237732,0.0037120330840996196,0.009572376094498378,0.009421664882157748,1.0218973607058552,0.004234996968789595,-3.2166812923844503,0.4262671427612781,24.167499542236328,-0.006883071647337924,0
AAPL,2016-07-26,24.204999923706055,24.49250030517578,24.104999542236328,24.167499542236328,224959200,24.602999877929687,24.29025001525879,56.4479630198606,-0.006883071647337924,-0.03204169910515231,-0.007698624657119679,0.009705819117094469,0.008845425910678235,1.0128755308189266,-0.005053487425833447,-7.042270740958294,0.3926637264782866,25.737499237060547,0.06496326573133504,1
AAPL,2016-07-27,26.0674991607666,26.087499618530273,25.6875,25.737499237060547,369379200,24.752499771118163,24.407250022888185,73.82732351763526,0.06496326573133504,0.029911943689022946,0.06276446814568382,0.022707702597158687,0.016331085383256984,1.014145376800181,0.054502216059773456,17.379360497774663,0.6419830795984338,26.084999084472656,0.013501694325908975,1
